Level,Champion,Score,Game Mode,Creep Score,Gold,Minutes,Date,Rank,Experience Gained,Kills,Deaths,Assists,Game Status
15,Vayne,C / +188 XP,Summoner's Rift,169,9.8k ,33:44:00,10/14/2018,C ,188,3,6,6,-1
16,Shen,B- / +223 XP,Summoner's Rift,144,11.8k ,40:20:00,10/13/2018,B- ,223,5,7,15,-1
12,Shen,A-,Summoner's Rift,39,6.2k ,25:50:00,10/13/2018,A-,0,0,0,13,1
12,Vayne,A+ / +146 XP,Summoner's Rift,137,9.9k ,21:05,10/13/2018,A+ ,146,9,2,8,1
12,Vayne,B+ / +144 XP,Summoner's Rift,86,8.4k ,20:53,10/13/2018,B+ ,144,6,2,6,1
12,Shen,+557 XP,Summoner's Rift,28,7.7k ,22:50,10/13/2018,N/A,557,3,2,12,1
8,Vayne,C- / +100 XP,Summoner's Rift,78,4.3k ,17:34,10/13/2018,C- ,100,0,5,0,-1
15,Vayne,A-,Summoner's Rift,124,14.8k ,30:23:00,10/13/2018,A-,0,20,3,6,1
13,Thresh,N/A,Custom,41,8.3k ,37:01:00,10/12/2018,N/A,0,0,8,11,-1
17,Vayne,N/A,Custom,269,19.0k ,35:28:00,10/12/2018,N/A,0,16,6,7,1
17,Vayne,A+ / +646 XP,Summoner's Rift,201,19.5k ,36:13:00,10/12/2018,A+ ,646,23,7,7,1
17,Shen,B+ / +213 XP,Summoner's Rift,100,11.6k ,38:32:00,10/12/2018,B+ ,213,4,8,15,-1
14,Vayne,B- / +177 XP,Summoner's Rift,109,10.4k ,25:47:00,10/12/2018,B- ,177,4,8,12,1
16,Vayne,B- / +198 XP,Summoner's Rift,184,11.2k ,35:42:00,10/09/2018,B- ,198,6,4,3,-1
15,Vayne,S / +199 XP,Summoner's Rift,219,16.3k ,29:08:00,10/09/2018,S ,199,20,1,4,1
12,Vayne,C- / +150 XP,Summoner's Rift,112,7.0k ,26:42:00,10/09/2018,C- ,150,1,7,5,-1
